khoi	tinh	M1	M2	M3
A	21	8	7.00	8.00
A	21	7	6.50	7.50
A	21	6.25	7.00	6.25
A	21	7.75	7.75	8.50
A	21	7.25	7.00	7.00
A	21	8.50	7.50	8.50
A	21	6.50	6.50	7.25
A	21	7.75	6.50	8.50
A	21	7.50	7.50	8.50
A	21	7.25	8.25	7.50
A	21	8	7.25	6.75
A	21	6	6.75	6.25
A	21	4.75	6.75	3.75
A	21	7.75	7.25	8.50
A	21	6.50	7.50	7.25
A	21	6	4.75	6.25
A	21	8	7.25	8.25
A	21	7.75	6.50	6.75
A	21	7	7.50	6.25
A	21	5	7.00	4.75
A	21	7.75	7.50	8.75
A	21	8.75	7.00	9.25
A	21	8.25	6.50	7.25
A	21	8.25	7.75	9.50
A	21	6.75	6.50	8.50
A	21	8.25	8.00	8.50
A	21	7.50	7.50	8.00
A	21	7	7.25	7.75
A	21	6.50	8.25	8.00
A	21	7.25	7.25	8.25
A	21	6.75	7.75	8.25
A	21	5.75	6.00	7.75
A	21	7.75	5.50	8.00
A	21	7.75	5.75	5.00
A	21	6.75	7.25	8.00
A	21	8	6.00	6.50
A	21	3	2.50	4.50
A	21	6.75	6.50	8.50
A	21	8.25	7.00	7.50
A	21	8	6.50	7.50
A	21	7.50	5.00	5.50
A	21	6.75	6.00	4.75
A	21	7	7.50	9.25
A	21	8	5.50	7.75
A	21	6	6.00	7.50
A	21	6.25	6.25	6.50
A	21	6.50	7.00	6.25
A	21	5.75	6.50	7.75
A	21	7.25	8.25	9.25
A	21	1.25	2.50	3.25
A	21	7	6.25	6.50
A	21	7	6.00	6.75
A	21	6.75	8.25	8.75
A	21	8	7.75	8.50
A	21	7	8.00	8.50
A	21	6.75	7.50	8.25
A	21	6.50	7.00	6.75
A	21	6	6.50	6.00
A	21	8.25	7.50	7.25
A	21	8	7.00	8.00
A	21	7.50	6.50	7.75
A	21	8	7.25	8.50
A	21	8	7.00	6.75
A	21	6.75	7.00	6.75
A	21	7.25	5.75	6.75
A	21	7.75	6.75	8.75
A	21	5.50	5.00	3.25
A	21	7.50	5.50	7.00
A	21	7.25	7.25	8.00
A	21	7.75	7.50	8.50
A	21	8.25	8.25	8.50
A	21	8	7.50	7.75
A	21	6.25	5.50	5.50
A	21	7	3.00	5.75
A	21	8.50	7.75	8.75
A	21	7.25	7.50	9.50
A	21	9	8.25	8.75
A	21	9	8.50	8.25
A	21	7.25	7.00	7.50
A	21	6.50	6.50	7.25
A	21	7	6.50	7.50
A	21	7	7.00	6.50
A	21	7	7.50	8.50
A	21	7	7.00	7.50
A	21	8	6.75	8.75
A	21	7.75	7.25	7.00
A	21	8	7.25	8.00
A	21	6.25	7.00	7.75
A	21	6.75	6.75	7.50
A	21	7	7.50	8.50
A	21	9	7.25	9.25
A	21	5.50	7.25	9.00
A	21	7	6.50	7.50
A	21	7	7.25	7.50
A	21	7.50	7.75	7.50
A	21	6.75	6.50	6.50
A	21	6.75	6.50	7.75
A	21	7.75	6.75	7.75
A	21	8	8.00	7.50
A	21	8	6.25	4.75
A	21	8	7.75	8.00
A	21	8.75	7.25	7.50
A	21	6.50	6.50	6.50
A	21	6.25	7.25	6.00
A	21	7.75	7.75	6.50
A	21	6	6.50	7.50
A	21	7.50	6.75	6.50
A	21	8	7.75	7.50
A	21	6.50	7.50	6.75
A	21	9	7.50	9.25
A	21	6.75	6.25	6.75
A	21	5.50	6.75	5.75
A	21	7	6.25	9.25
A	21	8.50	5.75	8.75
A	21	6.75	6.25	6.25
A	21	9	7.75	7.50
A	21	6.50	5.75	4.00
A	21	7.50	7.50	8.75
A	21	7	7.00	8.50
A	21	7.25	7.50	9.25
A	21	7.50	7.00	6.75
A	21	7.50	7.50	8.50
A	21	7.50	8.00	8.50
A	21	7	7.25	6.50
A	21	7.25	6.50	5.50
A	21	6.50	6.25	7.25
A	21	9	3.25	7.25
A	21	4	5.50	6.00
A	21	7.75	6.50	6.00
A	21	7.50	7.00	6.50
A	21	7.75	7.50	9.50
A	21	7	6.25	8.50
A	21	7.50	7.00	8.50
A	21	9	7.50	8.75
A	21	7.75	6.75	8.25
A	21	6.50	7.00	8.25
A	21	6.75	6.00	7.50
A	21	2.75	4.50	3.75
A	21	7	7.50	9.25
A	21	7	6.50	7.75
A	21	6.75	7.50	8.50
A	21	6.50	6.50	7.75
A	21	9	7.50	7.75
A	21	4.75	4.00	6.25
A	21	9	6.75	8.25
A	21	7.50	6.50	8.00
A	21	7.75	6.50	8.50
A	21	7.75	6.00	7.25
A	21	6.75	7.50	4.50
A	21	7.25	7.50	6.00
A	21	6.75	6.75	7.75
A	21	8	6.50	7.50
A	21	7.25	8.50	9.00
A	21	7.25	6.25	8.75
A	21	1.50	5.25	3.25
A	21	5.75	5.75	6.00
A	21	1	2.50	3.75
A	21	0.50	3.50	2.25
A	21	7.75	7.00	8.25
A	21	7.25	6.25	7.50
A	21	6.75	7.25	7.50
A	21	7.75	7.50	8.00
A	21	3.25	3.25	4.25
A	21	3.75	3.00	4.50
A	21	3.75	2.50	3.00
A	21	4	3.75	4.25
A	21	7.25	4.25	7.25
A	21	3.75	2.75	4.50
A	21	5.75	4.25	4.75
A	21	2.25	1.75	3.50
A	21	2.25	3.50	3.50
A	21	2.50	4.50	4.75
A	21	3.75	2.75	3.50
A	21	5	3.50	5.25
A	21	3.75	5.25	5.00
A	21	4.75	3.75	5.50
A	21	1	2.50	3.75
A	21	4.75	4.50	5.00
A	21	7.25	6.75	6.75
A	17	8.50	8.00	9.00
A	22	7.50	7.00	8.50
A	22	8	7.25	8.50
A	22	5.75	6.50	5.00
A	22	8.25	7.50	8.50
A	22	7.50	6.50	6.25
A	22	8.75	7.50	8.75
A	22	7.25	7.25	7.50
A	22	6.50	6.75	7.50
A	22	9	8.75	9.50
A	22	8.25	7.50	8.25
A	22	8.50	8.00	8.50
A	22	8.25	8.25	8.50
A	22	8	7.50	9.25
A	22	8.25	8.00	9.25
A	22	7.75	7.75	8.75
A	22	8.75	8.25	9.00
A	22	8	7.50	8.50
A	22	6.50	7.00	6.75
A	22	7	7.00	8.50
A	22	8	6.50	8.00
A	22	7.50	6.75	7.50
A	22	8	7.25	8.50
A	22	8	8.00	8.75
A	22	6.50	5.50	6.50
A	22	6	6.75	6.00
A	22	6.25	6.50	6.50
A	22	6	4.75	7.75
A	22	8	6.50	7.75
A	22	7.50	7.50	9.25
A	22	7	7.25	8.50
A	22	0.25	2.75	2.50
A	22	7.25	6.25	8.50
A	22	8.50	7.00	6.50
A	22	8.25	7.50	8.75
A	22	8.75	7.25	8.50
A	22	6.50	6.50	6.25
A	22	8.25	6.50	7.50
A	22	7.75	7.25	6.50
A	22	6.50	6.50	7.25
A	22	4.75	4.25	3.25
A	22	6.75	7.00	7.50
A	22	6	6.00	4.75
A	22	6.75	6.50	6.75
A	22	8.25	3.75	9.50
A	22	6.25	5.50	4.50
A	22	8.75	8.75	9.00
A	22	6.50	5.75	6.25
A	22	7.25	7.00	8.50
A	22	7.25	6.50	6.25
A	22	8.50	6.25	8.50
A	22	8.25	6.50	7.50
A	22	9	7.00	7.00
A	22	7	6.50	5.50
A	22	6.25	5.00	5.75
A	22	7.50	5.75	6.75
A	22	6.75	7.50	7.25
A	22	7.50	6.75	9.50
A	22	9	7.25	8.25
A	22	9	7.25	9.00
A	22	8.25	6.50	7.50
A	22	8.25	6.25	7.00
A	22	9	7.50	9.00
A	22	7.25	7.50	6.00
A	22	9	7.25	7.50
A	22	8.25	6.00	8.50
A	22	8.50	6.50	8.00
A	22	9	7.25	8.00
A	22	8	7.25	7.75
A	22	8.75	6.25	7.50
A	22	7.25	6.50	6.50
A	22	8.75	7.75	8.50
A	22	0.50	2.25	3.00
A	22	7.50	7.50	7.75
A	22	7.75	7.75	7.25
A	22	8.50	6.50	8.75
A	22	8.25	8.00	9.50
A	22	9	8.50	9.50
A	22	8.25	6.75	8.75
A	22	5.50	4.00	4.25
A	22	5.75	4.50	6.75
A	22	6.75	5.25	5.25
A	22	4.50	6.50	4.50
A	22	6.75	6.75	7.25
A	22	7	6.50	7.50
A	22	7.50	6.50	6.25
A	22	7.75	7.50	8.50
A	22	5.50	7.25	7.75
A	22	5.50	7.00	7.25
A	22	8.50	8.00	8.25
A	22	6.25	7.50	8.50
A	22	7	7.50	8.25
A	22	7	7.00	8.00
A	22	7.50	7.25	9.00
A	22	7.25	7.50	8.50
A	22	6.75	5.25	8.25
A	22	7.75	5.50	7.25
A	22	8	6.00	5.50
A	22	6.50	6.50	5.50
A	22	6	4.50	3.25
A	22	7.50	7.50	8.50
A	22	8	6.25	8.25
A	22	7.25	6.25	6.25
A	22	8.25	7.25	8.50
A	22	6.25	6.75	7.25
A	22	6	6.50	6.50
A	22	8.75	7.75	9.00
A	22	9	8.25	9.25
A	22	7.75	7.00	7.75
A	22	8.50	7.50	8.50
A	22	6.75	6.75	7.50
A	22	7.75	6.25	8.50
A	22	6.25	5.75	4.50
A	22	7.50	7.50	7.75
A	22	6.50	6.25	7.25
A	22	8	6.00	8.00
A	22	7.25	7.25	7.50
A	22	0	3.00	3.00
A	22	6	6.25	7.00
A	22	8	6.75	8.75
A	22	6.25	6.00	8.50
A	22	5.50	6.50	8.50
A	22	7	6.75	9.00
A	22	7.50	5.50	8.50
A	22	7.50	5.50	7.75
A	22	7	7.25	8.75
A	22	7	7.00	8.75
A	22	8.50	7.00	8.25
A	22	7.25	6.50	8.00
A	22	6	7.50	8.25
A	22	7	6.75	6.75
A	22	7.75	7.50	6.75
A	22	8	9.00	8.50
A	22	7.75	7.50	9.00
A	22	7.50	6.75	8.50
A	22	8.50	8.50	9.50
A	22	8	7.00	9.00
A	22	7	6.50	8.50
A	22	7.75	8.25	10.00
A	22	7.75	7.00	8.25
A	22	7.25	7.00	6.00
A	22	7.50	7.50	8.00
A	22	7.75	7.00	8.50
A	22	7	7.50	8.75
A	22	6.75	6.75	5.50
A	22	7.75	6.75	8.50
A	22	7.75	7.25	6.00
A	22	8.25	7.00	8.75
A	22	7.75	7.25	8.50
A	22	8.50	7.00	8.50
A	22	7	6.50	8.50
A	22	6.75	6.50	8.25
A	22	4	4.50	4.50
A	22	8.75	6.75	7.75
A	22	0.50	3.50	3.50
A	19	0.50	2.25	2.50
A	22	8.25	7.25	9.25
A	22	8.50	6.50	8.50
A	22	0.25	2.50	4.00
A	22	7.50	6.50	7.75
A	22	8.75	7.50	9.50
A	22	8.75	5.50	5.75
A	22	6	6.75	4.75
A	22	7.25	7.25	8.50
A	22	8.25	7.50	8.50
A	22	8.25	8.25	8.75
A	22	7	6.75	7.50
A	22	6	5.50	5.00
A	22	7.50	6.50	8.25
A	22	7.75	7.75	9.25
A	22	7	6.50	8.50
A	22	9	8.50	8.50
A	22	8.25	8.25	9.75
A	22	8	6.50	7.75
A	22	8	6.00	6.00
A	22	7	6.75	6.50
A	22	8	6.50	7.75
A	22	7.25	6.50	8.25
A	22	7.25	6.50	8.75
A	22	4.75	6.00	6.00
A	22	9	5.50	9.50
A	22	4.75	6.25	6.00
A	22	1	3.50	4.25
A	22	7.25	6.75	9.50
A	22	7.75	6.50	7.50
A	22	7.75	8.25	9.25
A	22	6	6.75	8.50
A	22	8.75	7.25	9.75
A	22	8.25	6.75	7.25
A	22	8.25	6.50	8.50
A	22	5.75	6.50	6.50
A	22	6.75	7.25	6.75
A	22	6	5.00	6.75
A	22	7	7.50	7.00
A	22	7	5.75	7.50
A	22	6.25	6.50	6.00
A	22	7	6.25	5.75
A	22	6.25	6.50	7.50
A	22	7.75	7.00	5.75
A	22	1	3.25	3.25
A	22	5.50	6.25	6.50
A	22	7.75	6.50	8.00
A	22	6.25	5.50	7.75
A	22	6.50	6.50	6.75
A	22	7.50	7.50	7.75
A	22	8	6.50	6.50
A	23	8.25	6.75	5.75
A	23	4.50	3.50	3.00
A	23	3.75	4.75	3.75
A	23	6.50	6.00	5.50
A	23	8.25	7.75	8.50
A	23	9	7.50	8.50
A	23	8.50	6.75	8.25
A	23	5.75	6.50	8.25
A	23	8	7.75	8.75
A	23	7.25	7.00	7.50
A	23	8	6.75	7.25
A	23	8.75	6.50	9.75
A	23	7.75	7.00	7.75
A	23	7	8.00	7.00
A	23	8.75	7.00	7.25
A	23	7	8.00	8.50
A	23	7.50	7.00	9.00
A	23	7	6.75	7.25
A	23	6.50	7.00	5.50
A	23	7.75	7.00	7.50
A	23	6.75	6.75	8.50
A	23	8	5.50	6.50
A	23	3.50	7.00	6.25
A	23	6.50	6.75	8.00
A	23	5	4.00	3.50
A	23	7.75	6.50	5.50
A	23	6.50	3.25	8.50
A	23	7	7.25	7.50
A	23	8	6.75	5.75
A	23	0	2.50	3.00
A	23	8.25	6.75	5.50
A	23	3.25	4.25	3.00
A	23	1.50	4.25	3.25
A	23	5.50	5.50	5.75
A	23	0	5.50	3.50
A	23	6	5.75	4.50
A	24	7.25	6.50	7.75
A	24	5	6.00	5.75
A	24	8	7.25	7.50
A	24	8	8.00	8.50
A	24	5	4.50	2.75
A	24	7.75	6.25	7.75
A	24	3.50	5.50	5.75
A	24	8.75	9.00	8.00
A	24	6.25	6.25	5.75
A	24	6	7.00	4.50
A	24	6.75	6.25	7.75
A	24	5.25	5.50	5.75
A	24	6.50	6.50	8.25
A	24	5.75	6.00	6.75
A	24	8.75	6.75	8.50
A	24	7.75	7.25	8.50
A	24	8.75	7.50	8.50
A	24	8.25	7.75	8.50
A	24	7.75	6.75	7.00
A	24	6.75	7.25	8.25
A	24	8.25	6.50	7.75
A	24	7.25	6.75	6.50
A	24	7.25	7.25	6.00
A	24	8.50	6.25	7.75
A	24	6.75	6.25	5.75
A	24	8.50	7.00	9.00
A	24	8.75	7.50	9.00
A	24	5.25	5.50	6.50
A	24	8.75	7.50	7.75
A	24	8.75	6.50	8.25
A	1A	6.50	7.50	7.50
A	24	8	7.75	9.50
A	24	8	7.50	9.25
A	24	5	6.25	4.50
A	24	8.50	8.25	9.50
A	24	7.25	6.75	8.25
A	24	6.50	7.50	8.25
A	24	5.50	5.75	5.50
A	24	6.50	6.50	6.75
A	24	6.50	5.00	6.50
A	24	8	7.00	6.25
A	24	7.25	6.75	6.50
A	24	7.25	6.50	8.25
A	24	6.25	7.00	8.50
A	24	6.25	6.25	5.75
A	24	6.50	6.25	7.75
A	24	7	5.50	6.00
A	24	8.50	7.50	9.50
A	24	6.50	6.25	4.75
A	24	6.50	6.00	6.00
A	24	6.50	6.50	6.25
A	24	6.75	6.50	5.50
A	24	6.75	6.00	5.50
A	24	7.25	7.50	7.75
A	24	7.50	6.00	6.75
A	24	3	4.75	4.00
A	24	8	7.75	7.75
A	24	6.75	7.50	6.75
A	24	7.75	6.25	8.50
A	24	6	4.75	4.75
A	24	2	3.25	2.75
A	24	7	6.00	7.50
A	24	6.50	6.00	8.00
A	24	6.75	6.25	7.50
A	24	6.25	5.75	5.25
A	24	8.50	6.75	8.25
A	24	7.75	6.50	7.50
A	24	8.25	7.00	8.50
A	24	3.75	5.50	5.50
A	24	2.50	3.25	4.25
A	24	4.75	6.00	4.00
A	24	5.25	5.50	5.25
A	24	6.75	7.50	6.25
A	24	6	5.25	3.50
A	24	7.50	7.00	9.25
A	24	7.75	7.25	8.75
A	24	5.75	7.00	7.50
A	24	8	7.50	7.00
A	24	9	7.75	8.50
A	24	7	7.50	8.75
A	24	4	5.00	4.50
A	24	8	6.50	4.75
A	24	6.75	7.50	7.50
A	24	6.50	6.75	6.75
A	24	8	5.75	7.00
A	24	7.50	6.75	7.25
A	24	3	4.00	3.25
A	24	8.50	7.25	8.75
A	24	6.75	7.25	7.50
A	24	6.25	7.00	7.00
A	24	3.25	2.00	6.50
A	24	7	5.75	5.75
A	24	6	6.50	6.50
A	24	6.75	6.25	6.00
A	24	7.50	6.00	7.50
A	24	6.50	6.75	6.50
A	24	7.75	6.75	7.75
A	24	7.25	6.50	7.50
A	24	7	6.00	7.25
A	24	6	7.00	8.50
A	24	6.25	4.75	5.75
A	24	5.25	4.00	6.50
A	24	5.75	5.25	6.00
A	24	5.25	3.25	4.00
A	24	5.50	5.25	6.00
A	24	7	6.75	8.00
A	24	6.50	5.75	5.50
A	24	7	5.25	7.50
A	24	6.25	6.50	8.00
A	24	6.25	6.50	6.00
A	24	2	5.50	3.25
A	25	7.25	6.75	7.50
A	25	7.50	6.75	6.50
A	25	7.50	7.25	7.50
A	25	7.50	5.75	6.25
A	25	8.50	7.00	8.75
A	25	7.50	7.50	8.50
A	25	9	6.75	8.75
A	25	7.50	6.50	8.50
A	25	8.25	7.25	8.75
A	25	7	6.25	5.75
A	25	7	6.50	6.75
A	25	8.25	6.75	8.25
A	25	5.75	6.50	8.25
A	25	8.75	7.00	6.50
A	25	7.50	7.00	8.50
A	25	9	6.75	8.50
A	25	9	6.50	8.75
A	25	8.75	7.75	8.00
A	25	9	6.00	8.75
A	25	8	8.50	9.00
A	25	9	8.50	9.00
A	25	8	8.00	8.75
A	25	7.50	6.75	8.00
A	25	9	8.00	9.50
A	25	7.50	8.50	9.25
A	25	9	6.75	8.50
A	25	6.75	7.25	8.50
A	25	8	6.50	8.50
A	25	7.25	8.25	9.25
A	25	8.25	7.50	8.50
A	25	6	6.00	5.75
A	25	8.50	6.75	9.25
A	25	8.50	8.00	8.50
A	25	8.75	7.50	9.50
A	25	8	8.00	9.00
A	25	7.25	6.75	8.00
A	25	9	7.25	8.75
A	25	9	8.25	9.00
A	25	7.25	6.50	8.00
A	25	8	6.25	7.75
A	25	8.50	8.50	9.25
A	25	8	6.75	9.50
A	25	8.50	6.75	9.00
A	25	7.75	6.50	7.50
A	25	9	6.50	7.00
A	25	7.50	6.75	8.50
A	25	8.75	7.00	8.50
A	25	8	6.75	8.00
A	25	7.50	8.00	7.75
A	25	7.75	7.50	8.00
A	25	8.50	6.75	7.50
A	25	7	6.50	8.00
A	25	8.50	7.50	6.75
A	25	6.75	5.50	7.50
A	25	6.50	6.50	6.00
A	25	6.50	5.75	7.25
A	25	7.50	6.50	6.25
A	25	6.25	7.00	6.25
A	25	5.75	6.00	8.00
A	25	6.50	6.75	7.75
A	25	7.75	7.50	8.50
A	25	6.25	5.25	6.00
A	25	7	6.25	6.25
A	25	7.75	6.50	6.50
A	25	4	4.50	4.25
A	25	6.50	6.50	8.00
A	25	8	6.50	7.50
A	25	4	5.25	6.25
A	25	7.75	7.50	6.50
A	25	8.25	6.25	7.50
A	25	7.75	6.00	7.75
A	25	8	7.50	7.25
A	25	9	8.00	9.50
A	25	8	8.00	8.25
A	25	9	7.25	8.75
A	25	8.25	6.75	9.00
A	25	0	2.50	3.50
A	25	6.50	8.00	6.50
A	25	7	6.50	7.75
A	25	5.75	5.50	4.50
A	25	7	6.75	8.50
A	25	7	5.75	6.25
A	25	0.25	1.75	2.50
A	25	7.50	7.50	8.50
A	25	8.75	5.75	7.25
A	25	7.25	7.50	8.00
A	25	7.50	8.00	8.00
A	25	0.75	2.50	6.50
A	25	7.25	6.50	6.50
A	25	7.25	7.00	5.50
A	25	5	5.75	5.00
A	25	7.25	3.25	8.50
A	25	6	3.50	4.50
A	25	6.75	7.50	6.50
A	25	7.25	7.50	7.50
A	25	6.25	7.50	8.50
A	25	8.75	8.00	9.00
A	25	6.75	5.75	6.50
A	25	7.50	6.50	5.50
A	25	8	7.25	8.00
A	25	7	6.75	8.00
A	25	7.50	7.25	9.00
A	25	5.50	6.00	6.50
A	25	6.75	2.50	6.50
A	25	7.25	7.00	7.25
A	25	7.75	6.25	7.00
A	25	7	6.50	6.50
A	25	9	7.75	8.75
A	25	7.50	7.50	8.25
A	25	7.50	5.25	4.50
A	25	6.50	5.25	4.75
A	25	8	7.50	7.50
A	25	8.25	8.50	9.50
A	25	7.75	7.50	6.75
A	25	7.50	9.00	9.50
A	25	8	6.50	7.50
A	25	7	6.50	7.75
A	25	8	6.50	9.00
A	25	6.50	5.50	6.00
A	25	8	5.75	6.25
A	25	8.25	7.75	8.50
A	25	7.25	7.50	7.75
A	25	5	5.75	4.50
A	25	4.50	5.25	3.50
A	25	4.50	5.00	4.00
A	25	6.25	6.50	6.50
A	25	7.75	6.50	7.75
A	25	6	6.00	6.00
A	25	5.75	3.25	3.50
A	25	7.25	6.25	7.75
A	25	7	5.50	4.50
A	25	7.25	6.50	7.25
A	25	7.50	6.75	7.25
A	25	5.75	7.50	7.00
A	25	7.25	6.50	7.25
A	25	8.75	7.50	7.75
A	25	7.50	6.75	6.50
A	25	7.75	8.25	8.50
A	25	9	6.50	7.50
A	25	7.50	7.50	7.50
A	25	5.75	6.00	6.50
A	25	7.25	6.25	7.75
A	25	8	6.00	6.50
A	25	8	7.25	8.75
A	25	8.50	7.50	8.50
A	25	6.75	6.50	7.00
A	25	6.75	6.25	5.25
A	25	7	6.25	5.75
A	25	8.25	5.75	7.50
A	25	5.50	5.50	5.50
A	25	7	7.50	9.25
A	25	9	5.50	7.25
A	25	6.75	6.75	5.50
A	25	8.50	5.50	9.00
A	25	8.75	6.50	7.50
A	25	7.25	6.25	5.50
A	25	6.75	6.25	7.25
A	25	7	6.75	7.75
A	25	8	7.25	9.25
A	25	7.25	7.25	6.50
A	25	6.50	6.50	5.75
A	25	7.50	7.00	8.25
A	25	8	6.00	7.50
A	25	6	6.00	7.00
A	25	7.50	6.00	7.50
A	25	7.25	7.25	7.25
A	25	6.25	6.00	7.75
A	25	8	7.25	7.00
A	25	8.75	6.25	7.75
A	25	6.25	5.50	5.25
A	25	6.50	6.25	7.25
A	25	7.50	8.00	7.75
A	25	7	6.75	8.50
A	25	6.50	7.00	8.25
A	25	6.50	6.50	7.75
A	25	4.50	5.50	5.25
A	25	5.50	6.00	5.00
A	25	7.25	6.50	7.25
A	25	7.50	6.75	8.00
A	25	9	7.25	8.50
A	25	7	6.50	6.75
A	25	7	7.50	6.50
A	25	6.50	6.00	6.75
A	25	7.50	5.75	7.75
A	25	8.75	7.00	8.50
A	25	7.75	4.50	8.50
A	25	7.75	5.75	6.50
A	25	8	7.00	7.75
A	25	8.50	7.00	6.50
A	25	7	5.50	7.00
A	25	8	6.50	7.25
A	25	6.25	6.50	8.50
A	25	7.50	6.25	8.00
A	25	7	5.50	8.00
A	25	7	7.00	7.75
A	25	5.75	5.50	4.75
A	25	8.75	7.50	8.50
A	25	5	5.50	5.00
A	25	8.75	8.00	9.50
A	25	5.50	4.50	6.25
A	25	7	6.50	4.25
A	25	5.50	5.75	6.00
A	25	6	6.00	6.25
A	25	6.25	6.50	8.50
A	25	8	8.50	8.75
A	25	6.25	6.00	7.00
A	25	6	7.00	6.00
A	25	8	7.50	8.25
A	25	7.50	6.50	7.75
A	25	6	6.50	7.25
A	25	9	6.75	8.25
A	25	6	7.00	8.00
A	25	5.75	6.00	6.50
A	25	7	5.50	6.50
A	25	7	6.50	8.50
A	25	6.75	6.50	6.50
A	25	7	7.50	8.75
A	25	7.50	6.75	7.50
A	25	6	6.00	6.00
A	25	7.75	7.75	8.50
A	25	7.25	5.00	9.25
A	25	7.25	7.25	6.50
A	25	6.75	6.00	6.00
A	25	7.75	6.75	6.50
A	25	5.75	5.75	5.25
A	25	7.25	8.00	8.50
A	25	7.50	7.50	9.25
A	25	7	6.00	7.25
A	25	7.50	7.00	7.75
A	25	8	7.50	8.00
A	25	9	8.50	9.25
A	25	7	6.25	6.50
A	25	7.75	7.00	7.50
A	25	7.75	6.50	7.50
A	25	7.75	6.50	8.00
A	25	7.50	7.25	8.50
A	25	8	7.50	7.75
A	25	7.25	6.50	7.25
A	25	5.50	5.50	5.50
A	25	8	6.50	8.25
A	25	6.50	5.25	6.75
A	25	7.25	6.50	8.25
A	25	6	6.25	8.50
A	25	5.75	6.00	6.50
A	25	8.50	8.50	9.00
A	25	8.75	7.25	8.75
A	25	7.75	6.50	8.25
A	25	7	7.75	7.50
A	25	0.50	4.50	5.50
A	25	5.50	2.75	3.00
A	25	3	3.25	3.50
A	25	7.50	6.75	8.75
A	25	5.25	5.75	6.50
A	25	9	7.50	8.50
A	25	6	6.50	6.25
A	25	7.25	6.25	8.50
A	25	8	7.25	8.00
A	25	7.75	7.00	8.50
A	25	7.50	6.75	8.25
A	25	7.50	6.25	8.25
A	25	7.50	6.50	7.75
A	25	6.25	7.50	7.75
A	25	7.50	6.50	9.25
A	25	8	7.75	8.75
A	25	7.75	6.75	8.50
A	25	8.50	7.50	9.25
A	25	6	7.50	9.50
A	25	8.75	6.50	8.25
A	25	7	6.50	7.00
A	25	7.25	5.25	6.50
A	25	6.50	5.75	6.50
A	25	8.75	7.25	8.25
A	25	6.25	8.00	7.50
A	25	7.75	7.00	8.50
A	25	7.25	6.50	7.25
A	25	4	5.25	3.50
A	25	7.25	6.50	8.00
A	25	7.25	6.00	7.50
A	25	8.75	6.50	7.25
A	25	7	6.75	7.50
A	25	7.75	7.25	7.75
A	25	6	5.75	4.25
A	25	8.50	7.50	8.50
A	25	7	6.50	5.75
A	25	9	7.75	7.00
A	25	9	7.25	7.75
A	25	6.75	6.00	6.75
A	25	3.25	3.00	1.75
A	25	2.75	4.50	5.50
A	25	7	6.75	9.50
A	25	8.25	6.50	8.75
A	25	7.50	6.75	7.00
A	25	7.25	6.75	6.75
A	25	6.50	6.50	8.50
A	25	6.50	6.25	6.50
A	25	7.50	5.25	5.75
A	25	7	5.50	5.50
A	25	7	6.50	5.75
A	25	6.75	6.50	5.25
A	25	7.50	6.75	6.75
A	25	7	6.25	7.50
A	25	7.50	4.00	6.50
A	25	7.50	6.75	8.00
A	25	8	6.50	8.25
A	25	7.50	7.25	7.50
A	25	6.25	6.50	6.50
A	25	6.75	5.25	6.75
A	25	8	8.00	7.50
A	25	8.25	5.75	8.75
A	25	9	6.50	7.50
A	25	7.50	6.75	8.00
A	25	7.50	6.75	7.75
A	25	8.25	8.25	9.50
A	25	8.50	6.50	7.50
A	25	8.75	6.75	7.50
A	25	9	8.25	8.50
A	25	7.75	7.50	8.50
A	25	8.75	7.50	9.00
A	25	8.50	7.50	7.25
A	25	7.25	6.50	9.00
A	25	8	6.75	9.25
A	25	6	6.50	7.50
A	25	6.50	7.25	6.75
A	25	7.25	7.50	8.00
A	25	8.50	7.25	7.50
A	25	6.25	5.75	7.50
A	25	8	6.50	7.00
A	25	8	7.50	9.00
A	25	8	6.25	8.00
A	25	8.50	7.50	6.50
A	25	7.50	6.50	7.75
A	25	7.25	8.25	8.00
A	25	8	6.75	7.50
A	25	7.25	6.00	6.50
A	25	5.75	6.50	7.75
A	25	6.75	6.50	6.00
A	25	8.25	7.75	8.75
A	25	6.25	7.25	5.50
A	25	6.75	5.50	5.50
A	25	4.75	5.50	4.75
A	25	3.50	3.50	2.75
A	1A	8	7.50	8.00
A	26	8	6.50	7.50
A	26	7.25	5.25	5.50
A	26	6.25	6.50	5.75
A	26	6.25	6.00	7.50
A	26	0.25	5.25	3.75
A	26	7.75	7.75	7.50
A	26	5.50	6.00	7.00
A	26	7	5.75	5.50
A	26	8.75	7.00	8.50
A	26	8.50	7.00	8.50
A	26	8.50	6.75	9.00
A	26	8.50	7.50	8.50
A	26	8.75	8.00	8.75
A	26	9	6.50	8.25
A	26	9	8.00	9.50
A	26	7.75	7.50	8.50
A	26	8	6.25	7.75
A	26	8.75	7.75	8.00
A	26	8	8.00	8.50
A	26	7.25	7.00	8.25
A	26	7.50	6.25	8.00
A	26	7	7.50	9.00
A	26	7	7.50	8.25
A	26	7.50	6.75	7.25
A	26	7.25	7.50	8.50
A	26	9	6.75	8.25
A	26	8.25	7.50	8.75
A	26	8.50	8.50	9.00
A	26	7.75	5.50	6.50
A	26	7.50	7.75	7.25
A	26	9	7.50	8.00
A	26	9	6.50	8.50
A	26	7.50	6.50	8.50
A	26	8.25	7.50	8.25
A	26	8.75	8.25	9.25
A	26	7.50	7.25	8.50
